NTD ID,Legacy NTD ID,Agency Name,Reporter Acronym,Doing Business As,Reporter Status,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
5R03-50494,5R03-026,Dowagiac Dial-A--Ride,DART,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R03,Michigan Department of Transportation,Rural General Public Transit,9/30/2017,1/31/2018,,,430,Dowagiac,MI,49047,,5,www.cityofdowagiac.com,,74332131,,,,,,,,,,2,2,,
5R03-50495,5R03-038,Interurban Transit Authority,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R03,Michigan Department of Transportation,Rural General Public Transit,9/30/2017,1/31/2018,100 Wiley Rd.,,649,Douglas,MI,49406,,5,http://www.saugatuckinterurban.org/,,781359740,,,,,,,,,6,,6,,
5R03-50503,5R03-024,Crawford County Transportation Authority,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R03,Michigan Department of Transportation,Rural General Public Transit,9/30/2017,1/31/2018,4276 W. North Down River Rd ,,,Grayling,MI,49738,,5,http://www.crawfordbus.org/,,13136549,,,,,,,,,16,,16,,
5R03-50511,5R03-001,ALTRAN Transit Authority,ALTRAN,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R03,Michigan Department of Transportation,Rural General Public Transit,9/30/2017,1/31/2018,,,69,Munising,MI,49862,,5,http://www.algercounty.org,,139431428,,,,,,,,,14,,14,,
5R03-50514,5R03-040,Ionia Dial-A-Ride,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R03,Michigan Department of Transportation,Rural General Public Transit,9/30/2017,1/31/2018,251 E. Adams St.,,,Ionia,MI,48846,,5,http://www.ci.ionia.mi.us,,199588161,,,,,,,,,8,,8,,
5R03-55321,,Peoples Express,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R03,Michigan Department of Transportation,Rural General Public Transit,9/30/2017,1/31/2018,,,505,Whitmore Lake,MI,48189,,5,http://peoplesexpressmi.com/,,964842277,,,,,,,,,5,,5,,
5R03-55322,,Western-Washtenaw Area Value Express,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R03,Michigan Department of Transportation,Rural General Public Transit,9/30/2017,1/31/2018,809 West Middle Street,,272,Chelsea,MI,48118,,5,http://ridethewavebus.org/,,9658317,,,,,,,,,4,,4,,
5R03-55323,,Pioneer Resources - Muskegon,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R03,Michigan Department of Transportation,Rural General Public Transit,9/30/2017,1/31/2018,601 Terrace Suite 100,,,Muskegon,MI,49440,,5,http://www.pioneerresources.org/,,80352438,,,,,,,,,4,,4,,
5R04,5R04,Minnesota Department of Transportation ,,,,State Reporter,Rural,,,,,6/30/2017,10/31/2017,,,,,,,,,,,,,,,,,,,,,,,,
5R04-50231,5R04-028,Rainbow Rider Transit Board,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,249 Poplar Avenue,,136,Lowry,MN,56349,,5,http://www.rainbowriderbus.com,,42248620,,,,,,,,,31,,31,,
5R04-50238,5R04-074,Blue Earth Blue Sky,,Land to Air,Active,Rural Reporter,Rural,Private-For-Profit Corporation,5R04,Minnesota Department of Transportation ,Intercity Bus,6/30/2017,10/31/2017,50 Sibley Parkway,,,Mankato,MN,56001,2309,5,http://www.landtoairexpress.com,,4794802,,,,,,,,,,,,,
5R04-50245,5R04-050,"Granite Falls, City of",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,641 Prentice Street,,,Granite Falls,MN,56241,,5,http://www.granitefalls.com,,30009732,,,,,,,,,1,,1,,
5R04-50262,5R04-026,"Morris, City of",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,P. O. Box 438,,,Morris,MN,56267,,5,http://www.ci.morris.mn.us,,51533735,,,,,,,,,5,,5,,
5R04-50264,5R04-013,Isanti County,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,Heartland Express Transit Center,245 2nd Avenue S.E.,,Cambridge,MN,55008,,5,http://www.co.chisago.mn.us,,20840668,,,,,,,,,11,,11,,
5R04-50273,5R04-048,Ecumen,,Meeker County Public Transit,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,812 East Ripley,,,Litchfield,MN,55355,,5,http://www.ecumenoflitchfield.org,,786163886,,,,,,,,,8,,8,,
5R04-50274,5R06-066,Jefferson Bus Lines,,,Active,Rural Reporter,Rural,Private-For-Profit Corporation,5R04,Minnesota Department of Transportation ,Intercity Bus,6/30/2017,10/31/2017,2100 E. 26th Street,,,Minneapolis,MN,55404,,5,http://www.jeffersonlines.com,,796370567,"2,975","2,849,712",,,,,,,,,,,
5R04-50297,5R04-070,Kanabec County,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,905 East Forest Avenue,,,Mora,MN,55051,,5,www.mltransit.com,,13380093,,,,,,,,,7,,7,,
5R04-50321,5R04-069,Volunteer Interfaith Network Effort,VINE,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,421 East Hickory Street,Suite 200,,Mankato,MN,56001,,5,www.vinevolunteers.com,,940675564,,,,,,,,,4,,4,33,33
5R04-50322,5R04-012,"Brainerd, City of",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,501 Laurel Street,,,Brainerd,MN,56401,,5,http://www.ci.brainerd.mn.us,,196046221,,,,,,,,,9,,9,,
5R04-50325,5R04-045,"Saint Peter, City of ",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,227 South Front Street,,,St. Peter,MN,56082,,5,http://www.saintpetermn.gov,,76490267,,,,,,,,,3,,3,,
5R04-50332,5R04-003,"Hibbing, City of",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,401 East 21st Street,,,Hibbing,MN,55746,,5,http://www.hibbing.mn.us,,40966293,,,,,,,,,3,,3,,
5R04-50334,5R04-056,"Prairie Five CAC, Inc.",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,7th Street and Washington Avenue,,159,Montevideo,MN,56265,,5,http://www.prairiefive.com,,55557813,,,,,,,,,40,,40,22,22
5R04-50349,5R04-037,"Winona, City of",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,207 Lafayette Street,,378,Winona,MN,55987,,5,http://www.cityofwinona-mn.com,,104459594,,,,,,,,,7,,7,,
5R04-50353,5R04-010,"Tri-Valley Opportunity Council, Inc.",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1345 Fairfax Avenue,,,Crookston,MN,56716,,5,http://www.tvoc.org,,76511922,,,,,,,,,25,,25,,
5R04-50373,5R04-054,Murray County,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,2439 Broadway Avenue,,,Slayton,MN,56172,,5,http://murray-countymn.com/mc/,,79733515,,,,,,,,,2,,2,6,6
5R04-50379,5R04-021,Becker County Transit,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,712 Minnesota Avenue,,1637,Detroit Lakes,MN,56502,,5,http://www.co.becker.mn.us,,158010129,,,,,,,,,5,,5,,
5R04-50384,5R04-038,Brown County Family Services,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1117 Center Street,,788,New Ulm,MN,56073,,5,http://www.co.brown.mn.us,,962100905,,,,,,,,,14,,14,9,8
5R04-50394,5R04-058,Trailblazer Joint Powers Board,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,112 Fifth Street,,88,Gaylord,MN,55334,,5,http://www.trailblazertransit.com,,72643922,,,,,,,,,33,,33,7,9
5R04-50397,5R04-006,Hubbard County,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,301 Court Street,,,Park Rapids,MN,56470,,5,http://www.co.hubbard.mn.us,,82524653,,,,,,,,,15,,15,10,10
5R04-50428,5R04-033,SEMCAC,SEMCAC,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,204 South Elm Street,,549,Rushford,MN,55971,,5,http://www.semcac.org,,66860073,,,,,,,,,11,,11,,
5R04-50430,5R04-005,"Fosston, City of",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,220 East First Street,,239,Fosston,MN,56542,,5,http://www.fosston.com,,85485576,,,,,,,,,1,,1,,
5R04-50446,5R04-020,Wadena County Social Services,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,124 First Street S.E.,,,Wadena,MN,56482,,5,http://www.co.wadena.mn.us,,70265970,,,,,,,,,22,,22,16,16
5R04-50448,5R04-047,Watonwan County,TMT,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1304 - 7th Avenue South,,467,St. James,MN,56081,,5,http://www.co.watonwan.mn.us,,29153822,,,,,,,,,3,,3,,
5R04-50450,5R04-030,"Cedar Valley Services, Inc.",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,2205 Myers Road,,,Albert Lea,MN,56007,,5,http://www.cedarvalleyservices.org/,,46891081,,,,,,,,,27,,27,,
5R04-50451,5R04-022,"Benson, City of",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1410 Kansas Avenue,,,Benson,MN,56215,,5,http://www.bensonmn.org,,76513993,,,,,,,,,2,,2,,
5R04-50460,5R04-041,"Le Sueur, City of",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,601 South 5th Street,,176,Le Sueur,MN,56058,,5,http://www.cityoflesueur.com,,76491455,,,,,,,,,3,,3,,
5R04-50471,5R04-046,"Southwestern MN Opportunity Council, Inc.",SMOC,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1106 Third Avenue,,787,Worthington,MN,56187,,5,www.mncaa.org,,153448139,,,,,,,,,3,,3,,
5R04-50474,5R04-019,"Tri-County Action Program, Inc.",Tri-CAP,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1200 - 23rd Ave S,,683,Waite Park,MN,56387,,5,http://www.tricap.org,,17972688,,,,,,,,,16,,16,,
5R04-50477,5R04-059,"Western Community Action, Inc.",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,400 West Main Street,,,Marshall,MN,56258,,5,http://www.wcainc.org,,114274582,,,,,,,,,67,,67,85,85
5R04-50489,5R04-007,Paul Bunyan Transit,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,706 Railroad Street S.E.,,,Bemidji,MN,56601,,5,http://www.paulbunyantransit.com,,176645620,,,,,,,,,33,,33,14,14
5R04-50504,5R04-064,Productive Alternatives,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1225 North Tower Road,,,Fergus Falls,MN,56537,,5,http://www.paiff.org,,71770424,,,,,,,,,18,,18,,
5R04-50510,5R04-036,"Three Rivers Community Action, Inc.",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,55049 - 241st Avenue,,,Plainview,MN,55964,,5,http://www.threeriverscap.org,,797200748,,,,,,,,,21,,21,,
5R04-50512,5R04-044,Rock County,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1110 North Blue Mound Avenue,,713,Luverne,MN,56156,,5,http://www.co.rock.mn.us,,16979775,,,,,,,,,3,,3,,
5R04-50520,5R04-001,"Arrowhead Economic Opportunity Agency, Inc.",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,702 3rd Avenue South,,,Virginia,MN,55792,2797,5,http://www.aeoa.org,,82523713,,,,,,,,,100,,100,55,83
5R04-55314,,Central Community Transit,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1320 22nd Street SW,,186,Wilmar,MN,56201,186,5,http://www.cctbus.org,,24034824,,,,,,,,,41,,41,5,5
5R04-55320,,Faribault-Martin Counties Joint Powers,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,,201 Lake Avenue,,,Fairmont,MN,56031,1845,5,http://www.PLTransit.com,,79768715,,,,,,,,,9,,9,,
5R04-55325,,Minnesota River Valley Transit,,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,203 South 2nd Street,,,Le Sueur,MN,56058,,5,www.mrvtransit.com,,80427681,,,,,,,,,7,,7,,
5R04-55326,,"United Community Action Partnership, Inc.",,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R04,Minnesota Department of Transportation ,Rural General Public Transit,6/30/2017,10/31/2017,1400 South Saratoga Street,,,Marshall,MN,56258,3114,5,www.communitytransitswmn.org,,114274582,,,,,,,,,67,,67,85,85
5R05,5R05,Ohio Department of Transportation,,,,State Reporter,Rural,,,,,12/31/2017,4/30/2018,,,,,,,,,,,,,,,,,,,,,,,,
5R05-50164,5R05-082,Sandusky Transit System,STS,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,City of Sandusky,222 Meigs Street,,Sandusky,OH,44870,,5,http://www.ci.sandusky.oh.us/,6279,76919786,,,,,,,,,21,,21,,
5R05-50255,5R05-045,Carroll County Transit,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,206 Claremont Avenue,,,Ashland,OH,44805,,5,http://www.carrollcountyohio.us/transit.html,,0,,,,,,,,,13,,13,,
5R05-50275,5R05-062,Knox Area Transit,MOTA,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,25 Columbus Road,,,Mt. Vernon,OH,43050,,5,http://www.co.knox.oh.us/offices/kat/,,0,,,,,,,,,26,,26,,
5R05-50278,5R05-043,Athens Transit,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,1015 East State Street,,,Athens,OH,45701,,5,http://www.athenstransit.org/,,75027409,,,,,,,,,9,,9,,
5R05-50284,5R05-046,Champaign Transit System,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,130 Shady Lane,,,Norwalk,OH,44857,,5,http://co.champaign.oh.us/transit/,,0,,,,,,,,,11,,11,,
5R05-50292,5R05-044,Bowling Green Transit,PCT,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,552 West Broadway,,265,New Lexington,OH,43764,,5,http://www.bgohio.org,,0,,,,,,,,,7,,7,,
5R05-50293,5R05-063,Monroe County Public Transportation,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,118 Home Avenue,,507,Woodsfield,OH,43793,,5,http://www.monroecountyohio.com/departments/index.php,,0,,,,,,,,,12,,12,,
5R05-50294,5R05-081,Hocking Athens Perry CAC - InterCity,HAPCAP,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Intercity Bus,12/31/2017,4/30/2018,3 Cardaras Drive,,,Glouster,OH,45732,,5,http://www.hapcap.org,,75027409,,,,,,,,,,,,,
5R05-50298,5R05-065,Ottawa County Transportation Agency,OCTA,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,275 N. Toussaint South Rd.,,,Oak Harbor,OH,43449,,5,http://octapublictransit.org/,,831016576,,,,,,,,,29,,29,,
5R05-50316,5R05-076,Wilmington City Cab Service,OCTA,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,275 N. Toussaint South Rd.,,,Oak Harbor,OH,43449,,5,http://www.ci.wilmington.oh.us/wiltran.cfm,,0,,,,,,,,,19,,19,,
5R05-50326,5R05-052,Geauga County Transit,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,12555 Merritt Road,,,Chardon,OH,44024,,5,http://www.geaugatransit.org/,,0,,,,,,,,,13,,13,,
5R05-50341,5R05-074,South East Area Transit,SEAT,,Active,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,375 Fairbanks Street,,,Zanesville,OH,43701,,5,http://seatbus.org/,,82213794,,,,,,,,,18,,18,,
5R05-50343,5R05-066,Perry County Transit,PCT,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,552 West Broadway,,265,New Lexington,OH,43764,,5,http://www.perryjfs.org/children_families_transportation.html,,832978159,,,,,,,,,27,,27,,
5R05-50362,5R05-056,Huron County Transit,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,130 Shady Lane,,,Norwalk,OH,44857,,5,http://huroncountytransit.net/,,101506442,,,,,,,,,7,,7,,
5R05-50363,5R05-071,Scioto County/Access Scioto County,ASC,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,601 Eight Street,,,Portsmouth,OH,45662,,5,http://www.asctransit.org/id24.html,,79438891,,,,,,,,,9,,9,,
5R05-50377,5R05-054,Hancock Area Transportation Services,HATS,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,122 Jefferson Street,,179,Findlay,OH,45839,,5,http://www.hhwpcac.org/hats.html,,97232284,,,,,,,,,15,,15,,
5R05-50382,5R05-041,Ashland Public Transit,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,206 Claremont Avenue,,,Ashland,OH,44805,,5,http://www.ashland-ohio.com/ashland-transit,,20644100,,,,,,,,,7,,7,,
5R05-50388,5R05-060,Marion Area Transit,MAT,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,137 S. State Street,,,Marion,OH,43302,,5,http://www.marionohio.us/transit,,71640015,,,,,,,,,10,,10,,
5R05-50390,5R05-042,Ashtabula County Transportation System,ACTS,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,4332 Main Avenue,,,Ashtabula,OH,44004,,5,http://www.co.ashtabula.oh.us/JFS/ACTSINFO.htm,,945008142,,,,,,,,,8,,8,,
5R05-50406,5R05-057,Lancaster Public Transit System,LPTS,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,746 Lawrence Street,,,Lancaster,OH,43130,,5,http://www.ci.lancaster.oh.us/242/Transit,,75491303,,,,,,,,,22,,22,,
5R05-50410,5R05-051,Fayette County Transportation Program,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,"1400 US Route 22, NW",,,Washington Court House,OH,43160,,5,http://www.cacfayettecounty.org/transportation/,,92163336,,,,,,,,,18,,18,,
5R05-50415,5R05-053,Greenville Transit System,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,1425 KitchedAid Way,,,Greenville,OH,45331,,5,http://www.cityofgreenville.org/transit/GTS.htm,,84747179,,,,,,,,,9,,9,,
5R05-50421,5R05-064,Morgan County Transit,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,37 South 5th Street,,,McConnelsville,OH,43756,,5,http://www.mocopublictransit.com/,,81309718,,,,,,,,,21,,21,,
5R05-50424,5R05-058,Transportation for Logan County,TLC,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,125 E. Patterson Ave.,,,Bellefonatine,OH,43311,,5,http://tlcrtc.org/,,160220380,,,,,,,,,10,,10,,
5R05-50429,5R05-047,Chillicothe Transit System,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,575 E. 7th Street,,,Chillicothe,OH,45601,,5,http://www.chillicothe.com/transit.html,,790638501,,,,,,,,,19,,19,,
5R05-50433,5R05-070,Transportation Resources For Independent People of Sandusky (TRIPS),TRIPS,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,109 S. Front Street,,590,Fremont,OH,43420,,5,http://www.wsos.org/program_details.php?id=27,,77573533,,,,,,,,,11,,11,,
5R05-50434,5R05-067,Pickaway Area Rural Transit,PICCA,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,469 East Ohio Street,,67,Circleville,OH,43113,,5,http://www.picca.info/,,101629871,,,,,,,,,18,,18,,
5R05-50438,5R05-059,Logan Transit System,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,1005 C.I.C. Drive,,,Logan,OH,43138,,5,http://www.loganpublictransit.com/,,75027409,,,,,,,,,11,,11,,
5R05-50440,5R05-072,Seneca County Agency Transportation,SCAT,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,3446 S TR 151,,922,Tiffin,OH,44883,,5,http://tiffinohio.org/seneca-county-area-transportation/,,111127817,,,,,,,,,30,,30,,
5R05-50462,5R05-055,Harrison County Rural Transit,HCRT,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,536 North Main Street,,,Cadiz,OH,43907,,5,http://thisismycounty.com/harrison-county-rural-transit/,,830951435,,,,,,,,,13,,13,,
5R05-50464,5R05-068,Pike County/Community Action Transit System,CATS,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,508 Howard Street,,799,Piketon,OH,45690,,5,http://www.catsservices.org/,,22452262,,,,,,,,,8,,8,,
5R05-50481,5R05-048,Columbiana County/Community Action Rural Transit System,CARTS,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,7880 Lincole Place,,,Lisbon,OH,44432,,5,http://www.cartsonline.org/,,97613962,,,,,,,,,33,,33,,
5R05-50497,5R05-073,Shelby Public Transit,,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,415 S. Vandemark road,,,Sidney,OH,45365,,5,http://sidneyoh.com/spt/SPT.html,,74724295,,,,,,,,,11,,11,,
5R05-55324,3098,Washington County Commissioners,CABL Bus lines,,Active,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,223 Putnam Street,,,Marietta,OH,45750,,5,http://www.wmcap.org/,6282,5059535,53,"25,000",,,,,,,,6,6,,
5R05-55328,,Horizons of Tuscarawas & Carroll Counties,,,Active,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,12/31/2017,4/30/2018,220 W. 4th Street,,,Dover,OH,44622,,5,http://www.horizonsoftuscandcarroll.org/Transportation-Services,,606383495,,,,,,,,,16,,16,,
