Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
4130,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Macon-Bibb County Transit Authority                                                                 ,200 Cherry Street                                                                                   ,                                                                                                    ,Macon                              ,GA                  ,31201,    ,www.mta-mac.com                                                                                     ,    ,MTA                      ,70,"155,255",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,154057616
4131,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,6,30,2009,Davidson County Transportation                                                                      ,925 North Main Street                                                                               ,                                                                                                    ,Lexington                          ,NC                  ,27293,1067,www.co.davidson.nc.us                                                                               ,N/A ,DCTS                     ,500,"140,000",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,1067      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,077839744
4132,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Goldsboro-Wayne Transportation Authority                                                            ,P. O. Box 227                                                                                       ,                                                                                                    ,Goldsboro                          ,NC                  ,27533,    ,www.ridegateway.com                                                                                 ,5850,GATEWAY                  ,35,"39,000",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,227       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,874734747
4133,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,6,30,2009,Guildford County Transportation                                                                     ,"1203 Maple St, Rm 120                                                                               ",                                                                                                    ,Greensboro                         ,NC                  ,27405,    ,www.co.guilford.nc.us/transport.php                                                                 ,1064,GCTAMS                   ,52,"248,111",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,3388      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,071563613
4135,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,6. Unit of State Government                                                                         ,                                                                                                                                                                                                        ,6,30,2009,Georgia Regional Transportation Authority                                                           ,245 Peachtree Center Ave. NE                                                                        ,Suite 800                                                                                           ,Atlanta                            ,GA                  ,30303,1223,www.grta.org                                                                                        ,5891,GRTA                     ,498,"1,354,871",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,Y,009919866
4137,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Municipality of Bayamon                                                                             ,                                                                                                    ,                                                                                                    ,Bayamon                            ,PR                  ,00960,    ,www.municipiodebayamon.com                                                                          ,2008,BPTS                     ,15,"50,000",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,2988      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,140030706
4138,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,12,31,2009,Gwinnett County Board of Commissioners                                                              ,75 Langley Drive                                                                                    ,                                                                                                    ,Lawrenceville                      ,GA                  ,30046,6900,www.gwinnettcounty.com                                                                              ,5440,GCT                      ,351,"583,048",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,Y,057272734
4140,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,9,30,2009,Collier Area Transit                                                                                ,8300 RADIO RD                                                                                       ,                                                                                                    ,Naples                             ,FL                  ,34104,    ,www.colliergov.net                                                                                  ,1032,CAT                      ,"1,513","333,032",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,076997790
4141,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,9,30,2009,Central Midlands Regional Transit Authority                                                         ,                                                                                                    ,                                                                                                    ,Columbia                           ,SC                  ,29201,0214,www.goCMRTA.com                                                                                     ,6558,CMRTA                    ,129,"250,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,214       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,148132322
4143,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Town of Cary                                                                                        ,316 North Academy Street                                                                            ,                                                                                                    ,Cary                               ,NC                  ,27513,    ,www.townofcary.org                                                                                  ,6287,CTRAN                    ,50,"107,973",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,8005      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,075550921
4144,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,6,30,2009, Hall Area Transit                                                                                  ,687 Main St                                                                                         ,                                                                                                    ,Gainesville                        ,GA                  ,30501,    ,www.hallareatransit.com                                                                             ,    ,HAT                      ,38,"31,782",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,078124617
4145,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Municipality of Manati                                                                              ,Quinones Street                                                                                     ,City Hall #10                                                                                       ,Manati                             ,PR                  ,00674,    ,www.manati.info                                                                                     ,1906,DCDH                     ,30,"17,833",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,3250      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,091106013
4146,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,9,30,2009,Hernando County Board of County Commissioners                                                       ,"20 North Main Street, Room 262                                                                      ",                                                                                                    ,Brooksville                        ,FL                  ,34601,2807,www.hernandobus.com                                                                                 ,2854,The Bus                  ,478,"164,907",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,073212920
4147,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,North Carolina State University Transportation Department                                           ,2721 Sullivan Drive                                                                                 ,CB 7221                                                                                             ,Raleigh                            ,NC                  ,27695,7221,www.ncsu.edu/transportation                                                                         ,    ,NCSU                     ,9,"40,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,N, ,N,143976090
4148,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,9,30,2009,"Tri-County Community Council, Inc.                                                                  ",302 North Oklahoma Street                                                                           ,                                                                                                    ,Bonifay                            ,FL                  ,32425,    ,www.tricountycommunitycouncil.com                                                                   ,1035,TCCC                     ,79,"132,400",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,1210      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,070865001
4150,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Municipal Government of Barceloneta                                                                 ,                                                                                                    ,                                                                                                    ,Barceloneta                        ,PR                  ,00617,2049,www.barceloneta.gobierno.pr                                                                         ,6388,                         ,19,"22,322",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,2049      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,091119008
4151,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Municipal Government of Hatillo                                                                     ,                                                                                                    ,                                                                                                    ,Hatillo                            ,PR                  ,00659,    ,NONE                                                                                                ,5322,MH                       ,42,"39,000",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,8         ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,120680009
4152,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker)                                                 ,7. Private Operator                                                                                 ,                                                                                                                                                                                                        ,12,31,2009,"Miami Lakes - VPSI, Inc.                                                                            ",14361 Commerce Way                                                                                  ,Suite 303                                                                                           ,Miami Lakes                        ,FL                  ,33016,    ,www.vpsiinc.com                                                                                     ,    ,                         ,"1,116","4,919,036",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,098675887
4153,4. Private transportation provider reporting on behalf of a public agency or authority (not a broker)                                                 ,7. Private Operator                                                                                 ,                                                                                                                                                                                                        ,12,31,2009,"Marietta - VPSI, Inc.                                                                               ",1343 Canton Rd                                                                                      ,                                                                                                    ,Marietta                           ,GA                  ,30066,    ,www.vpsiinc.com                                                                                     ,    ,                         ,424,"174,680",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,098675887
4155,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,9,30,2009,"St Johns County, Florida,  Board of County Commissioners                                            ",500 San Sebastian View                                                                              ,                                                                                                    ,St. Augustine                      ,FL                  ,32084,    ,www.co.st-johns.fl.us/                                                                              ,6410,St Johns County          ,600,"149,300",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,073236739
4156,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Lower Savannah COG                                                                                  ,2748 Wageneer Road                                                                                  ,P. O. Box 850                                                                                       ,Aiken                              ,SC                  ,29802,0850,www.lscog.org                                                                                       ,6442,LSCOG                    ,200,"73,000",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,850       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,170913321
4157,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,6,30,2009,Clayton County Board of Commissioners                                                               ,112 Smith Street                                                                                    ,                                                                                                    ,Jonesboro                          ,GA                  ,30236,    ,www.co.clayton.ga.us                                                                                ,6810,CTRAN                    ,68,"263,900",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,         
4158,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,9,30,2009,Lake County Board of County Commissioners                                                           ,315 W. Main Street                                                                                  ,                                                                                                    ,Tavares                            ,FL                  ,32778,7800,www.lakecountyfl.gov                                                                                ,6480,LCBOCC                   ,71,"97,497",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,7800      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,079214136
4159,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,1. Independent Agency with an elected Board of Directors                                            ,                                                                                                                                                                                                        ,6,30,2009,Regional Transportation Authority                                                                   ,130 Nestor Street                                                                                   ,                                                                                                    ,Nashville                          ,TN                  ,37210,2124,www.rtarelaxandride.com                                                                             ,5966,RTA                      ,"4,750","1,447,856",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,127831217
