State,Agency,AgencyNTDID,AgencyID,OrgType,ReporterType,UZA Size,WholeAgencyVOMsSize,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,TotalEmployeeHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,TotalEmployeeCount 
MS,Ms Coast Transportation Authority(CTA),40014,4014,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,15,"31,350","3,901",444,"3,149","38,844",,"38,844",14.8,1.7,0.2,2.6,19.3,,19.3
MS,Ms Coast Transportation Authority(CTA),40014,4014,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Part Time,15,"1,642",796,367,,"2,805",,"2,805",2.8,0.8,0.2,,3.8,,3.8
MS,Ms Coast Transportation Authority(CTA),40014,4014,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,17,"93,459","14,676","1,672","17,797","127,604",,"127,604",46.8,6.3,0.8,8.3,62.2,,62.2
MS,Ms Coast Transportation Authority(CTA),40014,4014,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,17,"5,037","2,997","1,381","1,931","11,346",,"11,346",5.0,3.2,0.8,1.0,10.0,,10.0
MS,Ms Coast Transportation Authority(CTA),40014,4014,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,32,"131,488","22,370","3,864","22,877","180,599",,"180,599",69.4,12.0,2.0,11.9,95.3,,95.3
MT,Billings Metropolitan Transit(Billings MET Transit),80004,8004,City,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,11,"22,834","2,211","1,089",717,"26,851",,"26,851",13.6,1.2,0.6,0.4,15.8,,15.8
MT,Billings Metropolitan Transit(Billings MET Transit),80004,8004,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,20,"56,352","6,860","3,143","4,855","71,210",,"71,210",32.0,3.8,2.4,3.0,41.2,,41.2
MT,Billings Metropolitan Transit(Billings MET Transit),80004,8004,City,Full Reporter: Operating,"Under 200,000",25-49,Total,,31,"79,186","9,071","4,232","5,572","98,061",,"98,061",45.6,5.0,3.0,3.4,57.0,,57.0
MT,Great Falls Transit District(GFTD),80012,8012,Authority,Full Reporter: Operating,"Under 200,000",10-24,DR,Full Time,6,"1,724",145,13,"1,903","3,785",,"3,785",1.0,0.1,,1.0,2.1,,2.1
MT,Great Falls Transit District(GFTD),80012,8012,Authority,Full Reporter: Operating,"Under 200,000",10-24,DR,Part Time,6,"16,896",,,,"16,896",,"16,896",11.0,,,,11.0,,11.0
MT,Great Falls Transit District(GFTD),80012,8012,Authority,Full Reporter: Operating,"Under 200,000",10-24,MB,Full Time,13,"30,487","6,362","2,290","5,135","44,274",,"44,274",17.0,3.8,1.3,4.0,26.0,,26.0
MT,Great Falls Transit District(GFTD),80012,8012,Authority,Full Reporter: Operating,"Under 200,000",10-24,MB,Part Time,13,"16,610",,,851,"17,461",,"17,461",10.0,,,1.0,11.0,,11.0
MT,Great Falls Transit District(GFTD),80012,8012,Authority,Full Reporter: Operating,"Under 200,000",10-24,Total,,19,"65,717","6,507","2,303","7,889","82,416",,"82,416",39.0,3.9,1.3,6.0,50.1,,50.1
MT,Missoula Urban Transportation District(Mountain Line),80009,8009,Authority,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,7,"12,108",397,42,"3,385","15,932",,"15,932",6.8,0.2,0.0,1.9,8.9,,8.9
MT,Missoula Urban Transportation District(Mountain Line),80009,8009,Authority,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,7,"2,118",,,,"2,118",,"2,118",1.0,,,,1.0,,1.0
MT,Missoula Urban Transportation District(Mountain Line),80009,8009,Authority,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,18,"38,977","10,306","1,327","13,540","64,150",,"64,150",22.3,5.0,0.6,7.7,35.6,,35.6
MT,Missoula Urban Transportation District(Mountain Line),80009,8009,Authority,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,18,"9,237",,,,"9,237",,"9,237",5.6,,,,5.6,,5.6
MT,Missoula Urban Transportation District(Mountain Line),80009,8009,Authority,Full Reporter: Operating,"Under 200,000",25-49,Total,,25,"62,440","10,703","1,369","16,925","91,437",,"91,437",35.7,5.1,0.7,9.6,51.1,,51.1
MT,The University of Montana - ASUM Transportation(ASUM OT),80107,8107,University,Full Reporter: Operating,"Under 200,000",under 10,MB,Full Time,6,"1,832","1,068",101,"2,732","5,733",,"5,733",0.9,0.5,0.1,1.3,2.8,,2.8
MT,The University of Montana - ASUM Transportation(ASUM OT),80107,8107,University,Full Reporter: Operating,"Under 200,000",under 10,MB,Part Time,6,"14,548",200,,,"14,748",,"14,748",36.0,4.0,,,40.0,,40.0
MT,The University of Montana - ASUM Transportation(ASUM OT),80107,8107,University,Full Reporter: Operating,"Under 200,000",under 10,Total,,6,"16,380","1,268",101,"2,732","20,481",,"20,481",36.9,4.5,0.1,1.3,42.8,,42.8
NC,ART (Asheville Redefines Transit)(ART),40005,4005,City,Full Reporter: Operating,"200,000 - 1 million",10-24,MB,Full Time,16,"82,695","15,776","3,432","14,272","116,175",,"116,175",51.0,7.0,2.0,6.0,66.0,,66.0
NC,ART (Asheville Redefines Transit)(ART),40005,4005,City,Full Reporter: Operating,"200,000 - 1 million",10-24,MB,Part Time,16,"2,200",,,,"2,200",,"2,200",2.0,,,,2.0,,2.0
NC,ART (Asheville Redefines Transit)(ART),40005,4005,City,Full Reporter: Operating,"200,000 - 1 million",10-24,Total,,16,"84,895","15,776","3,432","14,272","118,375",,"118,375",53.0,7.0,2.0,6.0,68.0,,68.0
NC,Cape Fear Public Transportation Authority(Wave),40006,4006,Authority,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Full Time,19,"13,520",,"5,173","2,080","20,773",,"20,773",7.0,,3.0,1.0,11.0,,11.0
NC,Cape Fear Public Transportation Authority(Wave),40006,4006,Authority,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Part Time,19,"19,115",,"1,370",,"20,485",,"20,485",27.0,,1.0,,28.0,,28.0
NC,Cape Fear Public Transportation Authority(Wave),40006,4006,Authority,Full Reporter: Operating,"200,000 - 1 million",25-49,VP,Full Time,2,,,,120,120,,120,,,,1.0,1.0,,1.0
NC,Cape Fear Public Transportation Authority(Wave),40006,4006,Authority,Full Reporter: Operating,"200,000 - 1 million",25-49,VP,Part Time,2,,,100,,100,,100,,,,,,,
NC,Cape Fear Public Transportation Authority(Wave),40006,4006,Authority,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,21,"32,635",,"6,643","2,200","41,478",,"41,478",34.0,,4.0,2.0,40.0,,40.0
NC,Capital Area Transit(CAT),40007,4007,City,Full Reporter: Operating,"200,000 - 1 million",250-499,MB,Full Time,65,"337,204","56,573","3,966","29,969","427,712",,"427,712",159.6,29.5,2.0,15.0,206.0,,206.0
NC,Capital Area Transit(CAT),40007,4007,City,Full Reporter: Operating,"200,000 - 1 million",250-499,MB,Part Time,65,127,,,719,846,,846,0.3,,,1.7,2.0,,2.0
NC,Capital Area Transit(CAT),40007,4007,City,Full Reporter: Operating,"200,000 - 1 million",250-499,Total,,65,"337,331","56,573","3,966","30,688","428,558",,"428,558",159.9,29.5,2.0,16.7,208.0,,208.0
NC,Chapel Hill Transit(CHT),40051,4051,City,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,15,"49,399","9,444",353,"4,691","63,887",,"63,887",23.0,4.6,0.2,3.5,31.3,,31.3
NC,Chapel Hill Transit(CHT),40051,4051,City,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Part Time,15,"1,634",,279,,"1,913",,"1,913",0.8,,0.1,,0.9,,0.9
NC,Chapel Hill Transit(CHT),40051,4051,City,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,72,"269,032","49,579","1,853","24,626","345,090",,"345,090",130.0,24.4,0.8,10.5,165.7,,165.7
NC,Chapel Hill Transit(CHT),40051,4051,City,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,72,"1,711",,"1,463",,"3,174",,"3,174",0.8,,0.7,,1.5,,1.5
NC,Chapel Hill Transit(CHT),40051,4051,City,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,87,"321,776","59,023","3,948","29,317","414,064",,"414,064",154.6,29.0,1.8,14.0,199.4,,199.4
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,CB,Full Time,95,"160,773","44,401",,"4,272","209,446",,"209,446",89.0,25.0,,3.0,117.0,,117.0
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,CB,Part Time,95,"4,779",370,,,"5,149",,"5,149",7.0,1.0,,,8.0,,8.0
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,DR,Full Time,70,"147,550",,,"28,400","175,950",,"175,950",83.0,,,14.0,97.0,,97.0
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,DR,Part Time,70,"32,638",,,"9,588","42,226",,"42,226",23.0,,,10.0,33.0,,33.0
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,LR,Full Time,14,"87,890","58,024","34,744","16,900","197,558",,"197,558",47.0,32.0,26.0,9.0,114.0,,114.0
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,MB,Full Time,173,"941,170","259,925",,"25,001","1,226,096",,"1,226,096",524.0,145.0,,14.0,683.0,,683.0
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,MB,Part Time,173,"27,979","2,160",,,"30,139",,"30,139",40.0,1.0,,,41.0,,41.0
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,VP,Full Time,79,"3,346","1,139",,"2,165","6,650",,"6,650",2.0,1.0,,1.0,4.0,,4.0
NC,Charlotte Area Transit System(CATS),40008,4008,City,Full Reporter: Operating,Over 1 million,250-499,Total,,431,"1,406,125","366,019","34,744","86,326","1,893,214",,"1,893,214",815.0,205.0,26.0,51.0,"1,097.0",,"1,097.0"
NC,Fayetteville Area System of Transit(FAST),40009,4009,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Full Time,15,"38,392","5,984",678,"3,337","48,391",,"48,391",18.1,2.9,0.4,1.9,23.3,,23.3
NC,Fayetteville Area System of Transit(FAST),40009,4009,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Part Time,15,"2,283",,,,"2,283",,"2,283",2.4,,,,2.4,,2.4
NC,Fayetteville Area System of Transit(FAST),40009,4009,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Full Time,18,"106,264","16,562","1,877","9,236","133,939",,"133,939",49.9,8.1,1.1,5.1,64.2,,64.2
NC,Fayetteville Area System of Transit(FAST),40009,4009,City,Full Reporter: Operating,"200,000 - 1 million",25-49,MB,Part Time,18,"6,321",,,,"6,321",,"6,321",6.6,,,,6.6,,6.6
NC,Fayetteville Area System of Transit(FAST),40009,4009,City,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,33,"153,260","22,546","2,555","12,573","190,934",,"190,934",77.0,11.0,1.5,7.0,96.5,,96.5
NC,Piedmont Authority for Regional Transportation(PART),40173,4173,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,VP,Full Time,51,,,,"6,792","6,792",,"6,792",,,,4.0,4.0,,4.0
NC,Piedmont Authority for Regional Transportation(PART),40173,4173,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,VP,Part Time,51,,,,722,722,,722,,,,1.0,1.0,,1.0
NC,Piedmont Authority for Regional Transportation(PART),40173,4173,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,51,,,,"7,514","7,514",,"7,514",,,,5.0,5.0,,5.0
NC,Research Triangle Regional Public Transportation Authority,40108,4108,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,DR,Full Time,14,"41,808","4,014",,"4,645","50,467",,"50,467",19.0,2.0,,4.0,25.0,,25.0
NC,Research Triangle Regional Public Transportation Authority,40108,4108,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,DR,Part Time,14,"4,094",,,539,"4,633",,"4,633",5.0,,,1.0,6.0,,6.0
NC,Research Triangle Regional Public Transportation Authority,40108,4108,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Full Time,68,"139,599","30,506",,"29,029","199,134",,"199,134",79.0,17.0,,23.0,119.0,,119.0
NC,Research Triangle Regional Public Transportation Authority,40108,4108,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Part Time,68,"13,263",,,"3,367","16,630",,"16,630",15.0,,,4.0,19.0,,19.0
NC,Research Triangle Regional Public Transportation Authority,40108,4108,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,VP,Full Time,69,"6,267","5,620",,"24,384","36,271",,"36,271",4.0,3.0,,19.0,26.0,,26.0
NC,Research Triangle Regional Public Transportation Authority,40108,4108,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,VP,Part Time,69,,,,"2,828","2,828",,"2,828",,,,2.0,2.0,,2.0
NC,Research Triangle Regional Public Transportation Authority,40108,4108,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,Total,,151,"205,031","40,140",,"64,792","309,963",,"309,963",122.0,22.0,,53.0,197.0,,197.0
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),40172,4172,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,43,"48,188","4,426",,"11,631","64,245",,"64,245",25.0,3.0,,6.0,34.0,,34.0
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),40172,4172,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Part Time,43,"23,524",,,,"23,524",,"23,524",23.0,,,,23.0,,23.0
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),40172,4172,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,10,"23,735","2,180",,"5,729","31,644",,"31,644",12.0,1.0,,4.0,17.0,,17.0
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),40172,4172,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,10,"11,320",,,,"11,320",,"11,320",11.0,,,,11.0,,11.0
NC,Western Piedmont Regional Transit Authority dba: Greenway Public Transportation(WPRTA),40172,4172,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,53,"106,767","6,606",,"17,360","130,733",,"130,733",71.0,4.0,,10.0,85.0,,85.0
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),40012,4012,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,23,"46,879","1,909",,"8,830","57,618",,"57,618",23.0,1.0,,5.0,29.0,,29.0
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),40012,4012,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Part Time,23,"17,429",,"1,035","2,130","20,594",,"20,594",12.0,,1.0,2.0,15.0,,15.0
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),40012,4012,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,36,"132,191","42,130","11,415","19,253","204,989",,"204,989",73.0,22.0,6.0,10.0,111.0,,111.0
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),40012,4012,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Part Time,36,"11,301","3,905",,"2,014","17,220",,"17,220",7.0,4.0,,2.0,13.0,,13.0
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County(WSTA),40012,4012,Authority,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,59,"207,800","47,944","12,450","32,227","300,421",,"300,421",115.0,27.0,7.0,19.0,168.0,,168.0
ND,Cities Area Transit(CAT),80008,8008,City,Full Reporter: Operating,"Under 200,000",10-24,MB,Full Time,8,"23,300","4,380",,"10,427","38,107",,"38,107",14.0,2.4,,7.6,24.0,,24.0
ND,Cities Area Transit(CAT),80008,8008,City,Full Reporter: Operating,"Under 200,000",10-24,MB,Part Time,8,"3,177",,324,"1,534","5,035",,"5,035",5.0,,1.0,1.0,7.0,,7.0
ND,Cities Area Transit(CAT),80008,8008,City,Full Reporter: Operating,"Under 200,000",10-24,Total,,8,"26,477","4,380",324,"11,961","43,142",,"43,142",19.0,2.4,1.0,8.6,31.0,,31.0
NE,StarTran,70001,7001,City,Full Reporter: Operating,"200,000 - 1 million",50-99,DR,Full Time,9,"23,537","5,641",,"3,278","32,456",,"32,456",12.3,2.9,,1.7,16.9,,16.9
NE,StarTran,70001,7001,City,Full Reporter: Operating,"200,000 - 1 million",50-99,MB,Full Time,51,"144,891","34,253",,"17,755","196,899",,"196,899",75.5,18.2,,8.9,102.6,,102.6
NE,StarTran,70001,7001,City,Full Reporter: Operating,"200,000 - 1 million",50-99,Total,,60,"168,428","39,894",,"21,033","229,355",,"229,355",87.8,21.1,,10.6,119.5,,119.5
NE,Transit Authority of Omaha(Metro),70002,7002,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,DR,Full Time,27,"64,999","1,845","1,900","6,517","75,261",,"75,261",,1.0,1.0,4.0,6.0,,6.0
NE,Transit Authority of Omaha(Metro),70002,7002,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,DR,Part Time,27,,980,"1,244",961,"3,185",,"3,185",,1.0,0.5,1.0,2.5,,2.5
NE,Transit Authority of Omaha(Metro),70002,7002,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Full Time,107,"332,992","61,659","27,782","47,767","470,200",,"470,200",158.0,35.0,18.0,26.0,237.0,,237.0
NE,Transit Authority of Omaha(Metro),70002,7002,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,MB,Part Time,107,,,996,"2,111","3,107",,"3,107",,,1.0,3.0,4.0,,4.0
NE,Transit Authority of Omaha(Metro),70002,7002,Authority,Full Reporter: Operating,"200,000 - 1 million",100-249,Total,,134,"397,991","64,484","31,922","57,356","551,753",,"551,753",158.0,37.0,20.5,34.0,249.5,,249.5
NH,"Flight Line, Inc.",11154,1135,For-Profit,Full Reporter: Operating,"Under 200,000",under 10,CB,Full Time,4,"13,294",,,,"13,294",,"13,294",9.0,,,,9.0,,9.0
NH,"Flight Line, Inc.",11154,1135,For-Profit,Full Reporter: Operating,"Under 200,000",under 10,CB,Part Time,4,"12,395","1,970",,"7,231","21,596",,"21,596",17.0,3.0,,11.0,31.0,,31.0
NH,"Flight Line, Inc.",11154,1135,For-Profit,Full Reporter: Operating,"Under 200,000",under 10,Total,,4,"25,689","1,970",,"7,231","34,890",,"34,890",26.0,3.0,,11.0,40.0,,40.0
NH,University Of New Hampshire - University Transportation Services(UNH UTS),10119,1119,University,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,25,"9,872","9,366",,"18,866","38,104",,"38,104",4.0,5.0,,10.0,19.0,,19.0
NH,University Of New Hampshire - University Transportation Services(UNH UTS),10119,1119,University,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,25,"67,339","1,254",,"17,841","86,434",,"86,434",110.0,4.0,,40.0,154.0,,154.0
NH,University Of New Hampshire - University Transportation Services(UNH UTS),10119,1119,University,Full Reporter: Operating,"Under 200,000",25-49,Total,,25,"77,211","10,620",,"36,707","124,538",,"124,538",114.0,9.0,,50.0,173.0,,173.0
NJ,"Academy Lines, Inc.",20122,2122,For-Profit,Full Reporter: Operating,Over 1 million,100-249,CB,Full Time,225,"275,940","103,400",,"61,800","441,140",,"441,140",175.0,50.0,,30.0,255.0,,255.0
NJ,"Academy Lines, Inc.",20122,2122,For-Profit,Full Reporter: Operating,Over 1 million,100-249,Total,,225,"275,940","103,400",,"61,800","441,140",,"441,140",175.0,50.0,,30.0,255.0,,255.0
NJ,Bergen County Community Transportation(BCCT),20192,2192,City,Full Reporter: Operating,Over 1 million,50-99,DR,Full Time,58,"1,283,230","2,959",,"12,314","1,298,503",,"1,298,503",80.0,1.0,,6.0,87.0,,87.0
NJ,Bergen County Community Transportation(BCCT),20192,2192,City,Full Reporter: Operating,Over 1 million,50-99,DR,Part Time,58,"3,112",,,,"3,112",,"3,112",3.0,,,,3.0,,3.0
NJ,Bergen County Community Transportation(BCCT),20192,2192,City,Full Reporter: Operating,Over 1 million,50-99,MB,Full Time,4,"7,327",293,,"1,218","8,838",,"8,838",6.0,1.0,,2.0,9.0,,9.0
NJ,Bergen County Community Transportation(BCCT),20192,2192,City,Full Reporter: Operating,Over 1 million,50-99,MB,Part Time,4,"8,471",,,,"8,471",,"8,471",7.0,,,,7.0,,7.0
NJ,Bergen County Community Transportation(BCCT),20192,2192,City,Full Reporter: Operating,Over 1 million,50-99,Total,,62,"1,302,140","3,252",,"13,532","1,318,924",,"1,318,924",96.0,2.0,,8.0,106.0,,106.0
NJ,Cape May County Fare Free Transportation(Fare Free),20203,2203,City,Full Reporter: Operating,"Under 200,000",25-49,DR,Full Time,41,"55,607","4,261",,"10,714","70,582",,"70,582",29.0,2.0,,7.0,38.0,,38.0
NJ,Cape May County Fare Free Transportation(Fare Free),20203,2203,City,Full Reporter: Operating,"Under 200,000",25-49,DR,Part Time,41,"19,227",,,,"19,227",,"19,227",19.0,,,,19.0,,19.0
NJ,Cape May County Fare Free Transportation(Fare Free),20203,2203,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Full Time,1,"6,179",473,,"1,190","7,842",,"7,842",,,,,,,
NJ,Cape May County Fare Free Transportation(Fare Free),20203,2203,City,Full Reporter: Operating,"Under 200,000",25-49,MB,Part Time,1,3,1,,1,5,,5,,,,,,,
NJ,Cape May County Fare Free Transportation(Fare Free),20203,2203,City,Full Reporter: Operating,"Under 200,000",25-49,Total,,42,"81,016","4,735",,"11,905","97,656",,"97,656",48.0,2.0,,7.0,57.0,,57.0
NJ,"Community Transit, Inc.(Community Transit)",20160,2160,For-Profit,Full Reporter: Operating,Over 1 million,10-24,CB,Full Time,23,"60,528","14,180",,"1,578","76,286",,"76,286",46.0,7.0,,1.0,54.0,,54.0
NJ,"Community Transit, Inc.(Community Transit)",20160,2160,For-Profit,Full Reporter: Operating,Over 1 million,10-24,Total,,23,"60,528","14,180",,"1,578","76,286",,"76,286",46.0,7.0,,1.0,54.0,,54.0
NJ,County of Atlantic(ACTU),20199,2199,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Full Time,34,"54,269","1,221",,"3,411","58,901",,"58,901",38.0,1.0,,2.0,41.0,,41.0
NJ,County of Atlantic(ACTU),20199,2199,City,Full Reporter: Operating,"200,000 - 1 million",25-49,DR,Part Time,34,"2,845",,,,"2,845",,"2,845",3.0,,,,3.0,,3.0
NJ,County of Atlantic(ACTU),20199,2199,City,Full Reporter: Operating,"200,000 - 1 million",25-49,Total,,34,"57,114","1,221",,"3,411","61,746",,"61,746",41.0,1.0,,2.0,44.0,,44.0
NJ,Cumberland Area Transit System(CATS),20193,2193,City,Full Reporter: Operating,Over 1 million,10-24,DR,Full Time,20,"38,702","4,253",,"3,654","46,609",,"46,609",23.0,2.0,,2.0,27.0,,27.0
NJ,Cumberland Area Transit System(CATS),20193,2193,City,Full Reporter: Operating,Over 1 million,10-24,DR,Part Time,20,"7,883",,,"3,025","10,908",,"10,908",10.0,,,3.0,13.0,,13.0
NJ,Cumberland Area Transit System(CATS),20193,2193,City,Full Reporter: Operating,Over 1 million,10-24,Total,,20,"46,585","4,253",,"6,679","57,517",,"57,517",33.0,2.0,,5.0,40.0,,40.0
NJ,DeCamp Bus Lines,20161,2161,For-Profit,Full Reporter: Operating,Over 1 million,50-99,CB,Full Time,57,"196,155","50,548",,"40,402","287,105",,"287,105",96.0,31.0,,24.0,151.0,,151.0
NJ,DeCamp Bus Lines,20161,2161,For-Profit,Full Reporter: Operating,Over 1 million,50-99,Total,,57,"196,155","50,548",,"40,402","287,105",,"287,105",96.0,31.0,,24.0,151.0,,151.0
NJ,"Hudson Transit Lines, Inc.(Short Line)",20126,2126,For-Profit,Full Reporter: Operating,Over 1 million,100-249,CB,Full Time,161,"405,904","106,760",,"28,320","540,984",,"540,984",206.0,55.0,,15.0,276.0,,276.0
NJ,"Hudson Transit Lines, Inc.(Short Line)",20126,2126,For-Profit,Full Reporter: Operating,Over 1 million,100-249,CB,Part Time,161,"1,170",,,990,"2,160",,"2,160",1.0,,,1.0,2.0,,2.0
NJ,"Hudson Transit Lines, Inc.(Short Line)",20126,2126,For-Profit,Full Reporter: Operating,Over 1 million,100-249,Total,,161,"407,074","106,760",0,"29,310","543,144",0,"543,144",207.0,55.0,0.0,16.0,278.0,0.0,278.0
NJ,"Lakeland Bus Lines, Inc.",20163,2163,For-Profit,Full Reporter: Operating,Over 1 million,50-99,CB,Full Time,59,"133,551","43,615","7,942","44,131","229,239",,"229,239",76.0,24.0,4.0,28.0,132.0,,132.0
NJ,"Lakeland Bus Lines, Inc.",20163,2163,For-Profit,Full Reporter: Operating,Over 1 million,50-99,CB,Part Time,59,"19,413","7,696","20,658","7,451","55,218",,"55,218",12.0,5.0,22.0,9.0,48.0,,48.0
NJ,"Lakeland Bus Lines, Inc.",20163,2163,For-Profit,Full Reporter: Operating,Over 1 million,50-99,Total,,59,"152,964","51,311","28,600","51,582","284,457",,"284,457",88.0,29.0,26.0,37.0,180.0,,180.0
NJ,Middlesex County Area Transit(MCAT),20196,2196,City,Full Reporter: Operating,Over 1 million,50-99,DR,Full Time,75,"95,800",,,"16,239","112,039",,"112,039",45.0,,,10.0,55.0,,55.0
NJ,Middlesex County Area Transit(MCAT),20196,2196,City,Full Reporter: Operating,Over 1 million,50-99,DR,Part Time,75,"2,000",,,,"2,000",,"2,000",2.0,,,,2.0,,2.0
NJ,Middlesex County Area Transit(MCAT),20196,2196,City,Full Reporter: Operating,Over 1 million,50-99,MB,Full Time,14,"41,952",,,"10,237","52,189",,"52,189",20.0,,,7.0,27.0,,27.0
NJ,Middlesex County Area Transit(MCAT),20196,2196,City,Full Reporter: Operating,Over 1 million,50-99,MB,Part Time,14,"1,500",,,,"1,500",,"1,500",1.0,,,,1.0,,1.0
NJ,Middlesex County Area Transit(MCAT),20196,2196,City,Full Reporter: Operating,Over 1 million,50-99,Total,,89,"141,252",,,"26,476","167,728",,"167,728",68.0,,,17.0,85.0,,85.0
NJ,New Jersey Transit Corporation(NJ TRANSIT),20080,2080,Semi-Public Corp,Full Reporter: Operating,Over 1 million,"1,000 & Over",CR,Full Time,1296,"4,567,709","2,663,073","1,401,949","1,471,700","10,104,431","750,798","10,855,229","2,159.0","1,288.0",639.0,706.0,"4,792.0",409.0,"5,201.0"
NJ,New Jersey Transit Corporation(NJ TRANSIT),20080,2080,Semi-Public Corp,Full Reporter: Operating,Over 1 million,"1,000 & Over",LR,Full Time,14,"130,070","37,360","78,267","39,290","284,987","4,310","289,297",61.0,18.0,38.0,20.0,137.0,2.1,139.1
NJ,New Jersey Transit Corporation(NJ TRANSIT),20080,2080,Semi-Public Corp,Full Reporter: Operating,Over 1 million,"1,000 & Over",MB,Full Time,1866,"6,642,871","2,344,056","178,145","1,323,648","10,488,720","14,210","10,502,930","3,386.0","1,211.0",86.0,637.0,"5,320.0",7.0,"5,327.0"
NJ,New Jersey Transit Corporation(NJ TRANSIT),20080,2080,Semi-Public Corp,Full Reporter: Operating,Over 1 million,"1,000 & Over",MB,Part Time,1866,"626,631",,,"90,509","717,140",,"717,140",591.0,,,73.0,664.0,,664.0
