Last Report Year,NTD ID,AgencyID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,UZA Name,UZA,UZA Area SQ Miles,UZA Population,2017 Status,Mode,Service,Mode Status,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2017,50004,5004,LaCrosse Municipal Transit Utility(La Crosse MTU),Active,Full Reporter,La Crosse,WI,2010,"La Crosse, WI-MN",298,51,"100,868",Existing 2017,MB,PT,Discontinued,,,,,"$173,427 ",,,,,,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,50005,5005,Metro Transit System(Metro),Active,Full Reporter,Madison,WI,2010,"Madison, WI",92,151,"401,661",Existing 2017,DR,DO,Operating,"$1,041,110 ","$1,039,898 ","$1,069,435 ","$1,418,164 ","$578,794 ","$508,378 ","$1,224,659 ","$1,785,466 ","$2,168,775 ","$2,166,777 ","$2,112,144 ","$2,352,727 ","$2,033,974 ","$2,233,996 ","$2,255,064 ","$2,248,017 ","$2,165,051 ","$2,281,030 ","$2,265,927 ","$2,206,551 ","$2,113,810 ","$2,048,545 ","$2,120,107 ","$2,196,228 ","$2,213,227 ","$2,303,102 ","$2,316,573 "
2017,50005,5005,Metro Transit System(Metro),Active,Full Reporter,Madison,WI,2010,"Madison, WI",92,151,"401,661",Existing 2017,DR,PT,Operating,"$1,423,440 ","$1,464,381 ","$1,532,733 ","$2,021,313 ","$1,872,979 ","$1,522,804 ","$1,682,078 ","$1,855,170 ","$2,278,679 ","$2,308,446 ","$3,039,313 ","$3,351,635 ","$3,935,316 ","$4,125,926 ","$4,667,101 ","$4,891,442 ","$5,085,912 ","$5,203,492 ","$5,073,271 ","$4,849,851 ","$4,646,812 ","$4,714,280 ","$4,395,626 ","$4,565,936 ","$4,640,895 ","$4,628,081 ","$4,914,182 "
2017,50005,5005,Metro Transit System(Metro),Active,Full Reporter,Madison,WI,2010,"Madison, WI",92,151,"401,661",Existing 2017,MB,DO,Operating,"$17,902,685 ","$19,147,083 ","$20,326,803 ","$19,962,607 ","$21,240,256 ","$22,355,149 ","$23,057,078 ","$25,548,528 ","$27,578,989 ","$28,232,128 ","$28,637,012 ","$29,385,638 ","$30,283,752 ","$31,732,151 ","$32,974,246 ","$35,143,898 ","$36,199,276 ","$39,237,204 ","$40,547,797 ","$40,434,049 ","$42,090,315 ","$41,522,887 ","$43,031,329 ","$44,909,155 ","$46,116,510 ","$46,920,051 ","$47,343,970 "
2017,50006,5006,Belle Urban System - Racine(The Bus),Active,Full Reporter,Racine,WI,2010,"Racine, WI",239,49,"133,700",Existing 2017,CB,PT,Operating,,,,,,,,,,,,,,,,,,,,,,"$1,207,294 ","$947,112 ","$975,466 ","$1,004,038 ","$1,043,370 ","$1,030,177 "
2017,50006,5006,Belle Urban System - Racine(The Bus),Active,Full Reporter,Racine,WI,2010,"Racine, WI",239,49,"133,700",Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,"$98,714 ","$466,349 ","$682,665 ","$650,047 ","$641,075 ","$750,646 ","$797,948 ","$752,056 ","$765,541 ","$682,581 ","$721,683 ","$741,686 "
2017,50006,5006,Belle Urban System - Racine(The Bus),Active,Full Reporter,Racine,WI,2010,"Racine, WI",239,49,"133,700",Existing 2017,DR,PT,Discontinued,"$132,000 ","$180,000 ","$182,226 ",,"$167,652 ","$162,115 ","$178,020 ","$176,370 ","$220,762 ","$375,077 ","$565,047 ","$529,500 ","$436,050 ","$409,410 ","$348,244 ","$190,755 ",,,,,$0 ,$0 ,,$0 ,,,
2017,50006,5006,Belle Urban System - Racine(The Bus),Active,Full Reporter,Racine,WI,2010,"Racine, WI",239,49,"133,700",Existing 2017,MB,DO,Operating,"$3,522,083 ","$3,614,192 ","$3,692,203 ",,"$4,065,635 ","$4,424,164 ","$4,478,725 ","$4,425,182 ","$4,429,485 ","$5,154,907 ","$5,287,295 ","$5,631,366 ","$6,247,980 ","$5,782,694 ","$6,361,909 ","$6,378,064 ","$6,510,559 ","$6,901,443 ","$6,415,367 ","$6,885,919 ","$6,871,663 ","$6,695,788 ","$6,638,807 ","$6,331,074 ","$6,048,388 ","$6,308,745 ","$6,353,802 "
2017,50006,5006,Belle Urban System - Racine(The Bus),Active,Full Reporter,Racine,WI,2010,"Racine, WI",239,49,"133,700",Existing 2017,MB,PT,Discontinued,,"$40,164 ","$61,734 ",,"$62,976 ","$67,204 ","$76,515 ","$88,729 ","$89,835 ",,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,50006,5006,Belle Urban System - Racine(The Bus),Active,Full Reporter,Racine,WI,2010,"Racine, WI",239,49,"133,700",Existing 2017,TB,PT,Discontinued,$0 ,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,50007,5T07,Bay Mills Indian Community(BMIC),Active,Reduced Reporter,Brimley,MI,2010,Michigan Non-UZA,0,0,0,Existing 2017,MB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$51,505 ","$44,333 ","$72,659 "
2017,50008,5008,Milwaukee County Transit System(MCTS),Active,Full Reporter,Milwaukee,WI,2010,"Milwaukee, WI",35,546,"1,376,476",Existing 2017,CB,PT,Separate,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,,$0 ,$0 
2017,50008,5008,Milwaukee County Transit System(MCTS),Active,Full Reporter,Milwaukee,WI,2010,"Milwaukee, WI",35,546,"1,376,476",Existing 2017,DR,PT,Operating,,,,,,,,,,"$15,627,218 ","$16,583,816 ","$17,877,429 ","$18,632,084 ","$18,488,466 ","$19,203,281 ","$19,995,467 ","$21,981,116 ","$23,798,414 ","$25,960,257 ","$26,093,355 ","$22,252,174 ","$14,543,304 ","$13,323,880 ","$13,477,220 ","$13,724,221 ","$13,358,917 ","$14,138,814 "
2017,50008,5008,Milwaukee County Transit System(MCTS),Active,Full Reporter,Milwaukee,WI,2010,"Milwaukee, WI",35,546,"1,376,476",Existing 2017,MB,DO,Operating,"$73,195,299 ","$77,252,740 ","$80,263,938 ","$87,373,127 ","$88,754,644 ","$89,451,688 ","$93,110,154 ","$96,676,760 ","$102,202,267 ","$107,652,189 ","$114,309,158 ","$114,555,262 ","$115,730,746 ","$119,265,641 ","$120,974,986 ","$125,557,107 ","$129,829,163 ","$134,287,162 ","$136,209,165 ","$134,064,230 ","$135,805,599 ","$135,505,919 ","$130,630,423 ","$133,286,101 ","$128,475,805 ","$133,636,134 ","$128,868,705 "
2017,50008,5008,Milwaukee County Transit System(MCTS),Active,Full Reporter,Milwaukee,WI,2010,"Milwaukee, WI",35,546,"1,376,476",Existing 2017,MB,PT,Separate,,,,,,,,,,,,,,"($1,575)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 
2017,50008,5008,Milwaukee County Transit System(MCTS),Active,Full Reporter,Milwaukee,WI,2010,"Milwaukee, WI",35,546,"1,376,476",Existing 2017,VP,DO,Discontinued,,,,,,,,"$75,174 ","$95,861 ","$102,327 ","$92,828 ","$80,283 ","$95,720 ","$95,781 ","$109,299 ","$119,606 ","$114,737 ","$103,445 ","$129,003 ","$133,938 ",$0 ,$0 ,,$0 ,,,
2017,50009,5009,GO Transit,Active,Full Reporter,Oshkosh,WI,2010,"Oshkosh, WI",376,31,"74,495",Existing 2017,DR,PT,Discontinued,"$41,892 ","$145,982 ","$236,729 ","$387,160 ","$563,989 ","$618,073 ","$676,797 ","$717,637 ","$745,885 ","$1,025,475 ","$891,479 ","$1,022,509 ","$1,095,947 ","$1,188,186 ","$1,304,237 ","$1,302,871 ","$1,430,854 ","$1,526,769 ","$1,546,840 ","$308,243 ",$0 ,$0 ,,$0 ,,,
2017,50009,5009,GO Transit,Active,Full Reporter,Oshkosh,WI,2010,"Oshkosh, WI",376,31,"74,495",Existing 2017,DT,PT,Operating,,,,,,,,,,,,,,,,,,,,"$1,172,124 ","$1,274,219 ","$1,243,424 ","$1,181,161 ","$1,175,001 ","$1,153,966 ","$550,493 ","$1,130,289 "
2017,50009,5009,GO Transit,Active,Full Reporter,Oshkosh,WI,2010,"Oshkosh, WI",376,31,"74,495",Existing 2017,MB,DO,Operating,"$1,654,700 ","$1,787,486 ","$1,717,975 ","$1,715,097 ","$1,613,829 ","$1,590,352 ","$1,566,318 ","$1,615,560 ","$1,646,620 ","$1,856,003 ","$1,961,600 ","$2,043,991 ","$2,156,999 ","$2,179,579 ","$2,314,954 ","$2,459,854 ","$2,609,231 ","$2,816,613 ","$2,766,004 ","$2,816,193 ","$3,013,192 ","$2,930,242 ","$2,976,830 ","$3,122,733 ","$3,050,299 ","$3,038,619 ","$3,283,403 "
2017,50009,5009,GO Transit,Active,Full Reporter,Oshkosh,WI,2010,"Oshkosh, WI",376,31,"74,495",Existing 2017,MB,PT,Operating,"$3,150 ",,"$7,525 ","$42,744 ","$89,844 ","$119,790 ","$126,522 ","$128,670 ","$120,912 ","$101,452 ","$232,040 ","$156,000 ","$120,065 ","$119,461 ","$193,120 ","$140,307 ","$141,840 ","$124,674 ","$131,507 ","$133,285 ","$139,866 ","$134,370 ","$114,101 ","$112,815 ","$105,747 ","$103,176 ","$154,654 "
2017,50010,5010,METRO Regional Transit Authority (METRO),Active,Full Reporter,Akron,OH,2010,"Akron, OH",71,325,"569,499",Existing 2017,CB,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,"$915,580 ","$951,331 ","$981,806 ","$988,177 ","$1,035,487 ","$1,127,140 ",
2017,50010,5010,METRO Regional Transit Authority (METRO),Active,Full Reporter,Akron,OH,2010,"Akron, OH",71,325,"569,499",Existing 2017,DR,DO,Operating,"$1,096,863 ","$1,501,416 ","$1,631,937 ","$1,927,545 ","$2,127,072 ","$2,478,482 ","$2,676,391 ","$2,811,838 ","$3,521,301 ","$3,770,924 ","$4,175,667 ","$4,545,039 ","$4,315,437 ","$4,196,786 ","$4,386,978 ","$4,117,789 ","$4,265,490 ","$4,447,237 ","$4,578,222 ","$4,770,620 ","$5,230,376 ","$6,222,697 ","$7,048,963 ","$6,681,163 ","$7,462,819 ","$8,202,235 ","$9,011,390 "
2017,50010,5010,METRO Regional Transit Authority (METRO),Active,Full Reporter,Akron,OH,2010,"Akron, OH",71,325,"569,499",Existing 2017,DR,PT,Discontinued,"$982,475 ","$1,135,011 ","$1,232,638 ","$1,455,587 ","$1,665,176 ","$1,603,589 ","$1,556,450 ","$1,706,943 ","$1,730,344 ","$1,821,780 ","$1,884,427 ","$2,239,017 ","$1,947,104 ","$1,105,433 ","$1,144,809 ","$1,168,461 ","$1,215,737 ","$1,236,090 ","$1,154,529 ",,$0 ,$0 ,,$0 ,,,
2017,50010,5010,METRO Regional Transit Authority (METRO),Active,Full Reporter,Akron,OH,2010,"Akron, OH",71,325,"569,499",Existing 2017,DT,PT,Discontinued,,,,,,,,,,,,,,,,,,,,"$1,306,513 ","$1,471,968 ","$933,227 ",,$0 ,,,
2017,50010,5010,METRO Regional Transit Authority (METRO),Active,Full Reporter,Akron,OH,2010,"Akron, OH",71,325,"569,499",Existing 2017,MB,DO,Operating,"$11,918,002 ","$13,066,949 ","$13,852,154 ","$14,792,809 ","$15,699,949 ","$16,391,631 ","$17,011,526 ","$17,128,109 ","$17,788,172 ","$20,406,324 ","$21,398,816 ","$20,459,351 ","$21,683,974 ","$22,511,967 ","$22,533,240 ","$23,000,655 ","$23,980,507 ","$25,064,008 ","$28,078,346 ","$29,812,667 ","$30,772,666 ","$30,545,805 ","$30,658,288 ","$32,909,144 ","$35,767,314 ","$37,275,625 ","$40,236,855 "
2017,50011,5011,Stark Area Regional Transit Authority(SARTA),Active,Full Reporter,Canton,OH,2010,"Canton, OH",135,166,"279,245",Existing 2017,DR,DO,Operating,,"$218,025 ","$355,370 ","$552,742 ","$529,341 ","$550,113 ","$497,581 ","$1,018,819 ","$1,638,773 ","$2,134,375 ","$2,632,251 ","$3,086,628 ","$3,219,968 ","$3,321,895 ","$4,214,223 ","$4,444,289 ","$4,320,716 ","$5,082,266 ","$4,832,267 ","$4,748,168 ","$4,862,357 ","$5,177,253 ","$5,678,240 ","$6,416,330 ","$6,258,144 ","$6,532,647 ","$6,702,714 "
2017,50011,5011,Stark Area Regional Transit Authority(SARTA),Active,Full Reporter,Canton,OH,2010,"Canton, OH",135,166,"279,245",Existing 2017,MB,DO,Operating,"$4,277,683 ","$4,275,195 ","$4,073,922 ","$4,269,482 ","$4,021,522 ","$3,568,504 ","$4,089,036 ","$7,893,709 ","$9,149,490 ","$11,232,999 ","$10,377,537 ","$8,696,321 ","$8,940,313 ","$9,774,377 ","$9,833,188 ","$10,370,003 ","$10,578,424 ","$9,865,570 ","$9,850,295 ","$9,217,034 ","$9,685,112 ","$10,415,145 ","$11,400,673 ","$12,951,250 ","$12,228,237 ","$12,636,559 ","$13,361,891 "
2017,50012,5012,Southwest Ohio Regional Transit Authority(SORTA / Metro),Active,Full Reporter,Cincinnati,OH,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,DR,PT,Operating,"$2,296,023 ","$2,794,877 ","$3,125,810 ","$3,295,058 ","$3,526,158 ","$3,901,594 ","$4,196,868 ","$4,651,801 ","$5,045,905 ","$5,394,429 ","$5,939,411 ","$6,703,835 ","$7,139,591 ","$7,298,388 ","$7,279,001 ","$7,730,738 ","$8,010,683 ","$7,868,971 ","$7,833,670 ","$6,956,835 ","$6,795,015 ","$6,910,066 ","$6,565,145 ","$6,784,143 ","$7,014,862 ","$7,198,913 ","$7,303,477 "
2017,50012,5012,Southwest Ohio Regional Transit Authority(SORTA / Metro),Active,Full Reporter,Cincinnati,OH,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,MB,DO,Operating,"$41,711,313 ","$46,826,222 ","$46,361,274 ","$48,458,306 ","$49,973,468 ","$50,382,939 ","$50,782,421 ","$54,010,224 ","$55,565,430 ","$62,401,361 ","$62,546,197 ","$64,227,881 ","$66,204,365 ","$63,318,265 ","$67,638,267 ","$72,855,986 ","$76,788,501 ","$81,521,765 ","$83,701,699 ","$76,961,713 ","$76,195,976 ","$80,733,597 ","$82,247,753 ","$84,250,350 ","$84,231,193 ","$85,635,303 ","$85,884,879 "
2017,50012,5012,Southwest Ohio Regional Transit Authority(SORTA / Metro),Active,Full Reporter,Cincinnati,OH,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,MB,PT,Discontinued,"$302,917 ",,,,,,,,,,"$490,430 ",,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,50012,5012,Southwest Ohio Regional Transit Authority(SORTA / Metro),Active,Full Reporter,Cincinnati,OH,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,SR,DO,Discontinued,,,,,,,,,,,,,,,,,,,,,,$0 ,,$0 ,,,
2017,50012,5012,Southwest Ohio Regional Transit Authority(SORTA / Metro),Active,Full Reporter,Cincinnati,OH,2010,"Cincinnati, OH-KY-IN",30,788,"1,624,827",Existing 2017,SR,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,074,409 ","$3,732,465 "
2017,50013,5T13,Red Cliff Band of Lake Superior Chippewa,Active,Reduced Reporter,Bayfield,WI,2010,Wisconsin Non-UZA,0,0,0,Existing 2017,DR,DO,Operating,,,,,,,,,,,,,,,,,,,,,,,,,"$116,752 ","$134,025 ","$148,005 "
2017,50015,5015,The Greater Cleveland Regional Transit Authority(GCRTA),Active,Full Reporter,Cleveland,OH,2010,"Cleveland, OH",25,772,"1,780,673",Existing 2017,DR,DO,Operating,"$3,987,021 ","$6,242,021 ","$6,581,362 ","$6,502,857 ","$6,831,127 ","$8,750,560 ","$9,992,585 ","$10,093,784 ","$11,274,732 ","$12,484,907 ","$13,288,871 ","$14,024,213 ","$14,425,966 ","$14,416,713 ","$15,445,396 ","$16,345,462 ","$17,473,937 ","$19,428,857 ","$20,730,357 ","$20,493,931 ","$24,739,466 ","$24,059,204 ","$22,672,769 ","$24,226,294 ","$23,289,302 ","$24,011,149 ","$25,900,513 "
2017,50015,5015,The Greater Cleveland Regional Transit Authority(GCRTA),Active,Full Reporter,Cleveland,OH,2010,"Cleveland, OH",25,772,"1,780,673",Existing 2017,DR,PT,Operating,"$1,397,218 ","$1,483,939 ","$1,079,152 ","$1,069,665 ","$917,631 ","$1,038,251 ","$1,194,525 ","$1,147,622 ","$1,371,473 ","$1,442,450 ","$1,598,313 ","$2,181,225 ","$2,546,213 ","$2,576,064 ","$2,531,820 ","$2,595,514 ","$2,833,816 ","$3,927,947 ","$4,038,253 ","$4,078,456 ","$4,508,833 ","$6,542,474 ","$7,197,217 ","$8,140,668 ","$8,775,512 ","$9,547,898 ","$9,803,647 "
2017,50015,5015,The Greater Cleveland Regional Transit Authority(GCRTA),Active,Full Reporter,Cleveland,OH,2010,"Cleveland, OH",25,772,"1,780,673",Existing 2017,HR,DO,Operating,"$21,078,587 ","$18,897,898 ","$19,903,181 ","$19,595,388 ","$21,681,108 ","$22,262,833 ","$20,729,434 ","$21,124,864 ","$22,905,428 ","$25,002,308 ","$26,798,851 ","$22,876,526 ","$23,353,518 ","$23,869,102 ","$23,186,818 ","$22,927,339 ","$24,408,221 ","$25,537,652 ","$24,414,172 ","$22,552,608 ","$24,046,558 ","$29,362,013 ","$28,088,812 ","$31,143,923 ","$32,701,059 ","$36,416,277 ","$37,031,444 "
2017,50015,5015,The Greater Cleveland Regional Transit Authority(GCRTA),Active,Full Reporter,Cleveland,OH,2010,"Cleveland, OH",25,772,"1,780,673",Existing 2017,LR,DO,Operating,"$12,656,017 ","$10,909,601 ","$10,837,793 ","$11,375,443 ","$12,484,638 ","$14,039,732 ","$14,094,012 ","$13,764,571 ","$14,928,440 ","$15,875,669 ","$16,848,928 ","$13,030,535 ","$12,694,206 ","$12,765,722 ","$12,566,725 ","$12,993,476 ","$12,864,711 ","$13,685,687 ","$13,508,202 ","$12,643,996 ","$11,765,053 ","$12,339,684 ","$11,714,024 ","$13,098,495 ","$13,536,632 ","$13,539,245 ","$12,741,916 "
2017,50015,5015,The Greater Cleveland Regional Transit Authority(GCRTA),Active,Full Reporter,Cleveland,OH,2010,"Cleveland, OH",25,772,"1,780,673",Existing 2017,MB,DO,Operating,"$108,729,889 ","$115,160,350 ","$112,480,825 ","$120,893,695 ","$132,126,268 ","$135,490,247 ","$139,942,777 ","$148,962,431 ","$155,639,662 ","$164,215,482 ","$170,415,696 ","$157,230,255 ","$162,039,599 ","$159,993,401 ","$162,258,876 ","$164,072,404 ","$171,958,534 ","$178,474,152 ","$166,632,316 ","$143,307,627 ","$141,074,969 ","$142,998,626 ","$153,049,868 ","$166,694,292 ","$155,748,442 ","$172,047,960 ","$163,471,665 "
2017,50015,5015,The Greater Cleveland Regional Transit Authority(GCRTA),Active,Full Reporter,Cleveland,OH,2010,"Cleveland, OH",25,772,"1,780,673",Existing 2017,MB,PT,Discontinued,"$6,557,289 ","$6,190,016 ","$6,745,143 ",,,"$442,537 ","$852,990 ","$621,127 ",,,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,50015,5015,The Greater Cleveland Regional Transit Authority(GCRTA),Active,Full Reporter,Cleveland,OH,2010,"Cleveland, OH",25,772,"1,780,673",Existing 2017,RB,DO,Operating,,,,,,,,,,,,,,,,,,,,,,"$6,514,207 ","$6,211,010 ","$7,095,541 ","$5,973,954 ","$6,441,115 ","$6,161,689 "
2017,50015,5015,The Greater Cleveland Regional Transit Authority(GCRTA),Active,Full Reporter,Cleveland,OH,2010,"Cleveland, OH",25,772,"1,780,673",Existing 2017,VP,PT,Operating,,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,"$36,653 "
2017,50016,5016,Central Ohio Transit Authority(COTA),Active,Full Reporter,Columbus,OH,2010,"Columbus, OH",36,510,"1,368,035",Existing 2017,DR,PT,Operating,"$1,242,099 ","$1,412,278 ","$1,472,132 ","$1,684,611 ","$1,922,387 ","$2,598,807 ","$3,087,169 ","$3,023,008 ","$3,267,644 ","$3,912,409 ","$4,077,361 ","$4,415,203 ","$4,975,917 ","$5,303,969 ","$5,613,344 ","$5,822,783 ","$6,726,834 ","$8,260,029 ","$7,790,536 ","$7,769,574 ","$8,830,943 ","$8,815,222 ","$9,316,077 ","$9,835,471 ","$10,000,650 ","$9,982,492 ","$9,950,304 "
2017,50016,5016,Central Ohio Transit Authority(COTA),Active,Full Reporter,Columbus,OH,2010,"Columbus, OH",36,510,"1,368,035",Existing 2017,MB,DO,Operating,"$36,877,210 ","$39,535,350 ","$40,221,696 ","$41,571,253 ","$44,002,554 ","$44,305,836 ","$46,868,430 ","$48,969,434 ","$55,285,745 ","$62,051,579 ","$67,299,637 ","$62,876,709 ","$65,591,995 ","$65,656,383 ","$67,654,781 ","$61,538,563 ","$62,845,738 ","$69,874,024 ","$73,250,602 ","$79,228,483 ","$84,005,229 ","$84,830,872 ","$90,778,058 ","$97,142,570 ","$101,762,725 ","$114,656,168 ","$134,095,530 "
2017,50017,5017,Greater Dayton Regional Transit Authority(GDRTA),Active,Full Reporter,Dayton,OH,2010,"Dayton, OH",59,351,"724,091",Existing 2017,DR,DO,Operating,"$497,556 ","$865,688 ","$961,913 ","$970,304 ","$3,235,093 ","$4,374,171 ","$5,056,334 ","$5,408,323 ","$6,103,390 ","$6,660,563 ","$7,723,208 ","$8,243,716 ","$9,946,946 ","$11,506,241 ","$11,997,905 ","$14,169,948 ","$14,479,891 ","$14,832,729 ","$13,524,673 ","$13,672,501 ","$14,087,592 ","$13,835,107 ","$13,427,921 ","$13,251,134 ","$12,963,409 ","$14,123,514 ","$15,599,473 "
2017,50017,5017,Greater Dayton Regional Transit Authority(GDRTA),Active,Full Reporter,Dayton,OH,2010,"Dayton, OH",59,351,"724,091",Existing 2017,DR,PT,Discontinued,"$549,786 ","$580,321 ","$827,106 ","$1,126,354 ","$245,452 ",,,,,,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
2017,50017,5017,Greater Dayton Regional Transit Authority(GDRTA),Active,Full Reporter,Dayton,OH,2010,"Dayton, OH",59,351,"724,091",Existing 2017,MB,DO,Operating,"$20,691,204 ","$30,700,031 ","$31,088,810 ","$31,173,309 ","$31,375,559 ","$30,360,185 ","$30,574,800 ","$31,178,719 ","$31,204,575 ","$30,512,865 ","$43,159,513 ","$33,331,407 ","$31,647,208 ","$31,607,638 ","$32,289,253 ","$32,481,674 ","$33,328,596 ","$34,292,377 ","$33,551,688 ","$32,022,539 ","$33,392,429 ","$34,490,747 ","$35,932,963 ","$38,493,320 ","$39,537,920 ","$43,461,653 ","$48,646,246 "
2017,50017,5017,Greater Dayton Regional Transit Authority(GDRTA),Active,Full Reporter,Dayton,OH,2010,"Dayton, OH",59,351,"724,091",Existing 2017,TB,DO,Operating,"$4,071,335 ","$5,124,754 ","$7,785,610 ","$8,171,609 ","$7,271,859 ","$7,424,384 ","$7,452,434 ","$7,009,831 ","$9,057,204 ","$10,744,358 ","$865,091 ","$9,123,852 ","$11,127,562 ","$11,328,087 ","$11,595,719 ","$11,210,547 ","$9,107,052 ","$9,152,659 ","$8,808,547 ","$7,230,531 ","$7,114,761 ","$7,311,194 ","$8,604,512 ","$9,945,139 ","$8,768,494 ","$9,560,830 ","$9,907,817 "
1995,50018,5018,Hamilton City Lines,Inactive,Full Reporter,Hamilton,OH,1990,"Hamilton, OH",193,53,"118,315",Pre 2017,DR,PT,Discontinued,"$23,224 ","$23,841 ","$1,148,632 ",,,,,,,,,,,,,,,,,,,,,,,,
1995,50018,5018,Hamilton City Lines,Inactive,Full Reporter,Hamilton,OH,1990,"Hamilton, OH",193,53,"118,315",Pre 2017,MB,PT,Discontinued,"$1,078,496 ","$1,115,720 ",,,,,,,,,,,,,,,,,,,,,,,,,
2017,50019,5019,City of Middletown - Middletown Transit System(MTS),Active,Reduced Reporter,Middletown,OH,2010,"Middletown, OH",308,56,"97,503",Existing 2017,DR,DO,Operating,,,,,$392 ,"$10,702 ","$30,053 ","$42,630 ","$46,474 ","$58,658 ","$62,579 ","$68,470 ","$77,938 ","$112,734 ","$132,656 ","$154,158 ","$161,432 ","$187,661 ","$188,514 ","$181,295 ","$164,376 ","$160,442 ","$138,890 ","$113,470 ","$193,377 ","$104,714 ","$122,475 "
2017,50019,5019,City of Middletown - Middletown Transit System(MTS),Active,Reduced Reporter,Middletown,OH,2010,"Middletown, OH",308,56,"97,503",Existing 2017,DR,PT,Discontinued,,,,,,,,,,,,,,,,,,,$245 ,"$2,166 ",$0 ,$0 ,,$0 ,,,
2017,50019,5019,City of Middletown - Middletown Transit System(MTS),Active,Reduced Reporter,Middletown,OH,2010,"Middletown, OH",308,56,"97,503",Existing 2017,MB,DO,Operating,"$552,241 ","$522,340 ","$532,804 ","$586,086 ","$618,908 ","$682,103 ","$621,415 ","$626,636 ","$698,857 ","$694,456 ","$733,463 ","$710,072 ","$648,356 ","$658,280 ","$798,392 ","$823,602 ","$875,987 ","$902,549 ","$796,554 ","$892,747 ","$901,400 ","$949,387 ","$1,002,396 ","$935,601 ","$825,746 ","$836,042 ","$810,406 "
2017,50020,5020,Springfield City Area Transit(SCAT),Active,Reduced Reporter,Springfield,OH,2010,"Springfield, OH",337,49,"85,256",Existing 2017,DR,DO,Discontinued,,,,,"$128,255 ","$90,008 ","$111,537 ","$162,117 ","$206,248 ","$214,629 ","$254,219 ","$269,456 ","$241,958 ","$269,680 ","$251,669 ","$276,150 ",,,,,$0 ,$0 ,,$0 ,,,
2017,50020,5020,Springfield City Area Transit(SCAT),Active,Reduced Reporter,Springfield,OH,2010,"Springfield, OH",337,49,"85,256",Existing 2017,DR,PT,Operating,,,"$138,121 ","$178,739 ",,,,,,,,,,,,,"$382,852 ","$442,388 ","$358,438 ","$366,926 ","$297,122 ","$282,428 ","$277,816 ","$110,614 ","$141,753 ","$144,223 ","$137,022 "
2017,50020,5020,Springfield City Area Transit(SCAT),Active,Reduced Reporter,Springfield,OH,2010,"Springfield, OH",337,49,"85,256",Existing 2017,MB,DO,Discontinued,"$704,178 ","$775,677 ","$857,029 ","$927,794 ","$872,914 ","$882,865 ","$937,863 ","$899,331 ","$948,275 ","$1,012,490 ","$1,076,135 ","$1,125,730 ","$1,172,991 ","$1,225,329 ","$1,308,615 ","$1,393,827 ",,,,,$0 ,$0 ,,$0 ,,,
2017,50020,5020,Springfield City Area Transit(SCAT),Active,Reduced Reporter,Springfield,OH,2010,"Springfield, OH",337,49,"85,256",Existing 2017,MB,PT,Operating,,,,,,,,,,,,,,,,,"$1,394,054 ","$1,522,967 ","$1,426,492 ","$1,524,282 ","$1,390,729 ","$1,404,547 ","$1,340,910 ","$1,646,180 ","$1,683,976 ","$1,674,862 ","$1,647,549 "
2017,50021,5021,Portage Area Regional Transportation Authority(PARTA),Active,Full Reporter,Kent,OH,2010,"Akron, OH",71,325,"569,499",Existing 2017,DR,DO,Operating,,,,,,"$300,083 ",,"$585,695 ","$783,254 ","$899,766 ","$1,105,383 ","$1,576,492 ","$1,947,636 ","$2,463,735 ","$3,064,835 ","$3,335,115 ","$3,415,540 ","$3,778,035 ","$3,664,796 ","$3,643,543 ","$3,823,444 ","$3,998,720 ","$3,812,413 ","$3,658,685 ","$3,798,143 ","$4,011,342 ","$4,028,182 "
2017,50021,5021,Portage Area Regional Transportation Authority(PARTA),Active,Full Reporter,Kent,OH,2010,"Akron, OH",71,325,"569,499",Existing 2017,DR,PT,Discontinued,,,,,,"$307,078 ",,,,,,,,,,,,,,,$0 ,$0 ,,$0 ,,,
